rowid,FILM,STARS,RATING,VOTES
286,A Pigeon Sat on a Branch Reflecting on Existence (2015),3.5,3.2,11
287,Deadpool (2016),5.0,4.7,11
288,Queen and Country (2015),4.0,3.8,11
289,The Duke of Burgundy (2015),3.5,3.4,11
290,Girlhood (2015),4.0,3.5,10
291,Madame Bovary (2015),4.0,3.6,10
292,Cymbeline (2015),4.0,3.7,10
293," Like Sunday, Like Rain (2015)",4.0,3.7,10
294,THE DEATH OF SUPERMAN LIVES: WHAT HAPPENED? (2015),5.0,4.7,10
295,The Riot Club (2015),3.5,3.3,10
296,The Salvation (2015),4.0,3.9,10
297,National Theatre Live: Man and Superman (2015),5.0,5.0,10
298,How to Fight in Six Inch Heels (2015),4.5,4.1,9
299,Superfast! (2015),5.0,4.6,9
300,Tinker Bell and the Legend of the NeverBeast (2015),5.0,4.6,9
301,Gabriel (2015),4.0,3.6,9
302,The Search for General Tso (2015),3.5,3.3,9
303,Julie Taymor's Midsummer Night's Dream (2015),4.5,4.4,9
304,Love Live! The School Idol Movie (2015),5.0,4.9,9
305,Maze Runner: The Scorch Trials (2015),5.0,5.0,9
306,Dark Awakening (2015),4.0,3.5,8
307,12 Golden Ducks (2015),5.0,4.5,8
308,Kurt Cobain: Montage of Heck (2015),5.0,4.6,8
309,Only You (2015),5.0,4.6,8
310,The Outrageous Sophie Tucker (2015),4.0,3.6,8
311,Eastern Boys (2015),3.5,3.3,8
312,Amira & Sam (2015),5.0,4.8,8
313,Barely Lethal (2015),5.0,4.8,8
314,Into The Grizzly Maze (2015),3.5,3.4,8
315,The Look of Silence (2015),3.5,3.4,8
316,I Am Big Bird: The Caroll Spinney Story (2015),4.0,3.9,8
317,Humpback Whales (2015),4.5,4.4,8
318,Cheatin' (2015),5.0,5.0,8
319,After Words (2015),4.0,3.6,7
320,Beloved Sisters (2014),3.5,3.3,7
321,Cut Bank (2015),3.5,3.3,7
322,Six Dance Lessons in Six Weeks (2014),3.0,3.0,7
323,The Pardon (2015),4.0,4.0,7
324,League of Legends LCS Summer Finals (2015),5.0,5.0,7
325,Vaalu (2015),2.0,1.5,6
326,The Little Death (2015),5.0,4.5,6
327,Live From New York! (2015),4.5,4.2,6
328,Backcountry (2015),4.0,3.8,6
329,Some Kind of Beautiful (2015),4.0,4.0,6
330,Hotel Transylvania 2 (2015),5.0,5.0,6
331,Soaked In Bleach (2015),5.0,5.0,6
332,I Believe in Unicorns (2015),5.0,4.6,5
333,Living in the Age of Airplanes (2015),4.0,3.6,5
334,We Are Your Friends (2015),4.0,3.6,5
335,The Falling (2015),3.5,3.2,5
